speaker_id,form_id,grade,wav_path,asr_transcription,prompt,confidence_score,acoustic_score,lm_score,pitch,intensity,pause(sec),silence(sec),duration(sec)
723110801017_200,HS-1801,3.5,/share/corpus/LTTC2023/HS-1801_sliced/723110801017_200.wav,"This picture is being taken in a place like market you can see a lot in Taiwan and you can see that many people are walking and a little boy is in Is catching something and I have seen this kind of activity a lot like this market or in the night market  market. If I were a parent, I would encourage my child to take part in this similar activity because I think it's a culture in Taiwan and my child should have the experience of this in his or her childhood. I would not be interested in running this kind of business  because you can see that this kind of business is not stable. You can see that there's only one little boy here. You can see that there are many people walking and watch this.","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7896,0.88045,1.81066,313.827,0.0525138463395146,0.0,0,88.19
723030101052_200,HS-1801,4.0,/share/corpus/LTTC2023/HS-1801_sliced/723030101052_200.wav,"Okay, this picture definitely is probably taken at the night market some place like that and why? Because every time I go to night market with my parents, there are this kind of stores everywhere and this picture they are doing is they are catching fishes. Catching fishes by little net and they are just playing the fish. I've seen this activity  Yeah, we are small. And I think I will be interested in running this kind of business because it's really easy. You just need to put some fish and you can get a lot of money. And you just need to sit there and watch them catching the fish. So this very good business, all you need to do is you just put a box of fishes and then you can earn a lot of money.  will be too raw to put just maybe too cruelty to play this kind of you know this is life and you just keep that in the box and you play with that life right it's it might be really too cruel to lease living things but you know people kill a lot of things so i don't think it's cruel because human get a lot of money from living things like you kill a chicken and you just sell it  you","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7647,0.83837,1.94942,591.3288,0.0854827587772619,0.0,0,90.01
723010201100_200,HS-1801,3.0,/share/corpus/LTTC2023/HS-1801_sliced/723010201100_200.wav,I think this place will taken in somewhere and it has night market but It's time night night and the night and I think it will it would like some visual sports and Because why I think so because there are many Entertainment entertainment place in the picture  and people are fishing in the pool like child and adult I have seen this activity before and if I am a parent I not encourage my child to take part in this similar activity because those fish has life and we can't do this to hurt the life to Singapore if you are  the fish in the pool and you fished by others you will not feel good I will not interested in running this kind of business because it's one not easy is harder living life and moreover it can take more outcome if I can,"Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.8044,0.88481,2.06196,462.6675,0.0670720278887872,0.0,0,89.27
723100101007_200,HS-1801,4.5,/share/corpus/LTTC2023/HS-1801_sliced/723100101007_200.wav,"I think this picture was probably taken in a morning market because lots of people they are walking by and they are like buying something. The people in this picture they are catching fish in the box. Yes, I've seen this kind of activity before but if I'm the children I wouldn't encourage my child to take part in a similar activity because  It's cruel to the fish. The fish have lives. We shouldn't catch them like this. I wouldn't be interested in running this kind of business. Because holding a lot of fish's life isn't easy. After we sell them to the customers, they might not let them live long. They might just throw it into somewhere.  in the picture a child and like his parents are catching fish in the morning market and behind them there are many people walking by and looking at looking at the fish fish in the back there are there is a lingerie and it's morning I think it's like autumn because some people are are wearing","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7855,0.81865,1.94583,677.6644,0.0734758170845072,0.0,0,89.31
723061001030_200,HS-1801,4.0,/share/corpus/LTTC2023/HS-1801_sliced/723061001030_200.wav,"this may take place at the market and Because everyone are are going and they are they are shopping and a lot of people are playing and buying a lot of things and A kid in front of me is he is catching the fishes fishes And I have to I've seen this  activity before. Maybe 5 years ago, I and my father go to the night market and there are a lot of activities like this. My favorite one is like this, catching the fish. If I were a parent, maybe I will encourage my children to take part in this activity.  This won't spend a lot of money and children can get out of fun. So I think I would encourage my children to take part in this activity. Maybe I won't be interested in running this kind of business because I think I should work more professional work instead of working at the market. So I think I won't","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7899,0.85096,1.76641,443.8183,0.0412884355478343,0.0,0,89.18
723010601060_200,HS-1801,4.5,/share/corpus/LTTC2023/HS-1801_sliced/723010601060_200.wav,"I think this picture is taken near a market because many people are sitting on the ground and from far away in the picture there seems to be some vegetables and these people are taking fish and they're fishing and I haven't seen this kind of activity before and I think I would encourage my children to do this because trying  something new is very important in their life. I'm not interested in running these kind of business because I think the salary is too low. And in this picture, the little boy is fishing happily and the adult helping him is very happy too. And many people are interested in this activity so they are around it and look at them. And one of the people  is one of the parents is taking the cell phone to take picture of the little boy. I think he or she might be very cherish their children's memories. And the little boy is wearing a white shoes and a blue shirt and he is very concentrate in his fishing work. And the adult helping him is wearing a dark blue","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7823,0.8419,1.89281,420.2034,0.0515693183935416,0.0,0,89.93
723010601012_200,HS-1801,4.0,/share/corpus/LTTC2023/HS-1801_sliced/723010601012_200.wav,"This picture might be taken in the night market since there are some vendors and some game machines in the pictures. The kids and his parents I guess though in the right of the picture. There are... Fishing! There are goldfish into the bucket. I've never seen this activity before.  But if I were a parent and my child wants to do this kind of activity, I would recommend them to do it since it's their right to have fun. And I won't be running this kind of business since my interest is in science and archaeology. There are some people buying things in the behind of the... further of the pictures.  The mother is picking up goldfishes into the child's bucket. I see a woman in the front of the picture is taking selfies and taking photos when the mother is picking up goldfishes for the child.  back up.","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.812,0.82399,2.01794,495.435,0.0777553030797703,0.0,0,90.24
723010101039_200,HS-1801,3.0,/share/corpus/LTTC2023/HS-1801_sliced/723010101039_200.wav,"In this Pikachu, there are some street vendors along the street. Because there are so many people gathered and some people are buying something and some people are grab a bite. In front of the Pikachu,  Children is fishing and some is fishing because the vendor offer the children free fish and in the back of the picture there are some people are bargaining with the vendors  they offer the vendors offer a variety of things. Yes, when I was little, I had seen this kind of activity. But if I was","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.8023,0.88028,1.82109,344.7214,0.0879023811070337,0.0,0,89.1
723030101046_200,HS-1801,3.0,/share/corpus/LTTC2023/HS-1801_sliced/723030101046_200.wav,I think it was taken in traditional market. They are catching fish from a small cube. And children write in the picture is catching the fish in smaller cubes.  tube and and the seller maybe in maybe the maybe is the last in the picture and helping children oh okay that's maybe the children's parent the children's mom and other people are looking for something interesting something interesting  I would not be interested in running this kind of business because this earning is too little and just a little bit earning from it,"Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.8223,0.8954,2.12747,653.4622,0.1477114942738379,0.0,0,86.3
723100101009_200,HS-1801,3.0,/share/corpus/LTTC2023/HS-1801_sliced/723100101009_200.wav,"Well, I think this picture was probably taken at traditional market. I saw a lot of people and some balloon behind the picture. I think the people is like shopping or looking around and  with their friends and family. Yes, I have seen this kind of activity before and if I were a parent, I would not encourage my children to take part in this activity because I don't think... I think this may... that them heard the family  I don't encourage them to do this. I'm not interested in running this kind of business because I don't think this profit will be high. I saw a lot of people and there's a girl holding a drink.  you","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.8354,0.8821,1.92829,775.4918,0.0507852940902333,0.0,0,90.05
